7188|1|39010
430|1|79186
3134|1|41092
3026|1|214215
3010|1|254678
804|1|183387
160|1|311989
95|1|301366
377|1|138218
888|1|270963
89|1|66534
1901|1|184205
161|1|84455
256|1|69211
351|1|53967
3329|1|72961
3341|1|142616
649|1|250365
1583|1|138388
87|1|121593
37|1|298041
309|1|10179
821|1|315399
1496|1|333405
637|1|180710
964|1|178766
594|1|364456
2249|1|204155
554|1|265609
20|1|166029
2227|1|9786
1315|1|316132
519|1|229119
1316|1|88598
2149|1|157042
1724|1|56814
18|1|221088
57|1|147460
118|1|268201
3254|1|337633
1177|1|115113
112|1|33369
11|1|213790
586|1|184683
35|1|353100
15|1|103672
1445|1|337378
152|1|132216
2|1|261551
113|1|205844
44|1|305339
2401|1|19761
10|1|41315
2378|1|52926
126|1|47965
3245|1|385394
783|1|161493
493|1|144868
1358|1|132386
1180|1|232529
529|1|353833
333|1|149489
1538|1|377193
2282|1|295704
1519|1|300240
2966|1|265949
474|1|67915
330|1|32073
958|1|343943
17|1|48613
1295|1|66704
38|1|70507
1952|1|180232
223|1|377671
625|1|111055
1392|1|396410
3355|1|157212
1881|1|334786
58|1|319935
96|1|73832
1580|1|20972
196|1|120945
146|1|297393
416|1|64590
1198|1|137007
3319|1|348256
1867|1|320190
896|1|50727
617|1|331291
3300|1|271303
1877|1|44895
462|1|398269
3279|1|249409
454|1|218496
1860|1|312892
121|1|385617
151|1|359750
1570|1|296267
1573|1|13674
1063|1|53404
1353|1|70029
459|1|280853
2334|1|64197
1267|1|37512
1060|1|335997
1061|1|108463
7431|1|349499
1355|1|14970
71|1|162056
3070|1|202944
2113|1|348086
3001|1|302439
396|1|215171
2260|1|101335
142|1|7502
2238|1|306975
123|1|330558
2942|1|126639
1509|1|175526
7410|1|327605
1760|1|265779
2876|1|343550
259|1|186627
1493|1|215989
2845|1|196942
370|1|130920
2844|1|24467
2167|1|61520
156|1|22098
2808|1|215511
255|1|296745
736|1|55348
7603|1|14524
346|1|391619
9|1|268849
75|1|51938
175|1|99051
2754|1|102068
22|1|110970
155|1|249632
1261|1|202689
2552|1|62901
2586|1|326925
710|1|371106
578|1|4910
472|1|122974
2472|1|265216
1606|1|105223
4|1|206492
563|1|217848
744|1|235121
3422|1|112776
250|1|234388
249|1|61913
2427|1|104012
3414|1|333012
1590|1|145686
2305|1|262539
1900|1|11730
3392|1|138643
1065|1|398354
1147|1|140980
1072|1|5643
3375|1|6631
1024|1|127032
709|1|198631
1382|1|271696
3332|1|190377
1885|1|224668
3330|1|245436
1197|1|364541
3316|1|230840
1886|1|397143
154|1|77157
1522|1|17647
2391|1|295056
3298|1|326362
432|1|24127
3292|1|91530
3290|1|146589
7597|1|179701
3274|1|187052
1875|1|99954
291|1|105701
158|1|367048
1579|1|248506
1846|1|298296
1066|1|170820
290|1|333235
3233|1|315739
891|1|388379
247|1|116972
1856|1|23001
3211|1|121370
115|1|150785
1365|1|139684
483|1|20154
3210|1|348904
3189|1|327010
3193|1|216892
2352|1|368684
1847|1|70762
3173|1|367473
1051|1|383758
1843|1|180880
2342|1|243970
7341|1|27091
3139|1|103449
1186|1|67352
3167|1|132641
3149|1|228163
1842|1|8405
3156|1|235461
3141|1|48390
817|1|25508
1840|1|63464
1839|1|290998
2324|1|339492
3143|1|393340
3142|1|220865
174|1|326585
2315|1|387253
1356|1|187445
1835|1|1107
296|1|168058
3118|1|81555
1542|1|267075
3111|1|74257
753|1|187360
3088|1|107422
395|1|42696
3068|1|258003
3042|1|173752
1442|1|219962
1339|1|55433
596|1|309397
2281|1|123229
222|1|205196
194|1|176004
3064|1|368121
1812|1|34272
1796|1|74735
701|1|18858
124|1|103024
3057|1|360823
7427|1|59608
2276|1|60872
2271|1|398524
1525|1|135063
2235|1|189559
3027|1|386690
2090|1|381251
1342|1|172849
331|1|204548
3023|1|96799
2261|1|273810
68|1|44640
116|1|323260
1043|1|203985
3020|1|379392
491|1|199927
179|1|388942
2252|1|321571
214|1|25423
439|1|31425
2147|1|212101
1167|1|390408
697|1|128976
67|1|272174
1793|1|357328
258|1|14152
1340|1|227908
2996|1|240082
1520|1|72706
1336|1|338026
30|1|290743
178|1|216467
747|1|352537
2962|1|376067
2952|1|251353
455|1|390971
260|1|359102
623|1|166114
29|1|118268
1510|1|348001
2927|1|339577
301|1|230415
2907|1|90149
2909|1|35090
1148|1|313455
955|1|226527
1502|1|168228
2853|1|376715
1500|1|223287
2178|1|358709
1320|1|378489
874|1|256367
2177|1|186234
2892|1|303087
636|1|8235
1034|1|251746
1494|1|388464
276|1|318639
